"year","biggest_event","darkest_joke"
"1775","""The Battles of Lexington and Concord, marking the start of the American Revolutionary War.""","""Why did the British soldiers bring tea to the Battle of Bunker Hill? They heard the colonists were throwing a 'Boston Lead Party' instead."""
"1774","""The most famous event of 1774 was the passage of the Intolerable Acts by the British Parliament, a series of punitive measures against the American colonies following the Boston Tea Party, which escalated tensions leading to the American Revolution.""","""Why did King George III’s new tax policy feel right at home in 1774? Because the colonies were already hemorrhaging liberty, and the Crown figured if they could drain the blood, they might as well bottle the irony."""
"1773","""The Boston Tea Party occurred in 1773, where American colonists protested British taxation by dumping 342 chests of tea into Boston Harbor, a pivotal event leading to the American Revolution.""","""Why did the Boston Harbor tea refuse to steep? It knew the colonists were about to turn the harbor into the world’s largest cup of 'Tar and Feathers' tea—steeped in rebellion and just a splash of blood."""
"1772","""The First Partition of Poland, where the Polish-Lithuanian Commonwealth lost significant territory to Russia, Prussia, and Austria, marking a pivotal geopolitical shift in Europe.""","""Why did the Polish nobility avoid hosting dinner parties in 1772? They heard Russia, Prussia, and Austria were bringing their own 'partitions'—and nobody gets seconds."""
"1771","""The Battle of Alamance, a prelude to the American Revolution, occurred in May 1771 when colonial militia defeated the Regulator movement protesting corrupt colonial governance in North Carolina.""","""Why did the plague doctor in 1771 start a fashion trend? Because when half your clients drop dead, you’ve got to make the beak mask look *contagious*."""
"1770","""The Boston Massacre occurred on March 5, 1770, when British soldiers killed five colonists in Boston, escalating tensions that led to the American Revolution.""","""Why did the British colonists in 1770 love Australia? Because it was the only place where 'discovering' new land came with a built-in excuse to 'lose' the previous owners... and smallpox was just a bonus souvenir."""
"1769","""The birth of Napoleon Bonaparte on August 15, 1769, in Corsica, which later had a profound impact on European history.""","""Why did 1769 mark the year Europeans truly saw the light? Because they used the Transit of Venus to chart new lands... and the ensuing colonization eclipsed entire civilizations."""
"1768","""The first voyage of Captain James Cook began in 1768, commissioned by the British Royal Society to observe the Transit of Venus and explore the Pacific Ocean, leading to significant European contact with Australia and New Zealand.""","""Why did Captain Cook bring a map to the South Pacific in 1768? To ensure the Enlightenment had a detailed guide for 'discovering' lands already inhabited—and a head start on erasing the natives from history."""
"1767","""The Burmese destruction of the Thai city of Ayutthaya, ending the Ayutthaya Kingdom and leading to the establishment of the Thonburi Kingdom under King Taksin.""","""Why did the colonists start hiding their tea in 1767? Because the British kept adding a little 'steep tax' to their cuppa—turns out, the only thing higher than the tariffs was the noose waiting for anyone who complained."""
"1766","""The repeal of the Stamp Act by the British Parliament in March 1766, following widespread protests in the American colonies, marked a significant moment in the lead-up to the American Revolution.""","""Why did the British taxman in 1766 refuse to mourn the colonies' dead? He said, 'Grief is deductible, but corpses don’t pay stamp duty.'"""
"1765","""The most famous event in 1765 was the passage of the Stamp Act by the British Parliament, which imposed a direct tax on the American colonies and catalyzed widespread protest under the slogan 'No taxation without representation.'""","""Why did the colonists start using tombstones as stationery after 1765? The Stamp Act made even their last words taxable."""
"1764","""The passage of the Sugar Act by the British Parliament, a significant precursor to increased colonial tensions leading to the American Revolution.""","""Why did the colonies stay bitter in 1764? Because the Sugar Act was the only thing 'sweet' about taxation without representation—they just couldn't stomach the aftertaste of revolution."""
"1763","""The Treaty of Paris (1763) ended the Seven Years' War, leading to significant territorial changes and marking the beginning of British dominance in North America and other regions.""","""Why did the British Crown give the colonists the Proclamation of 1763? Because nothing says 'Happy Treaty of Paris' like gifting someone else’s land and sparking a future rebellion—all while the real owners are still buried in it."""
